Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,0.001800,0.002000,0.001400,0.001700,0.001700,5772885
2020-03-24,0.002000,0.002000,0.001500,0.001500,0.001500,1430203
2020-03-25,0.001800,0.001800,0.001480,0.001500,0.001500,378000
2020-03-26,0.001700,0.001700,0.001400,0.001700,0.001700,1723500
2020-03-27,0.001600,0.001600,0.001300,0.001300,0.001300,1965000
2020-03-30,0.001600,0.001600,0.001400,0.001500,0.001500,625566
2020-03-31,0.001550,0.002100,0.001500,0.002000,0.002000,5207184
2020-04-01,0.002000,0.002000,0.001700,0.001900,0.001900,505669
2020-04-02,0.001600,0.001800,0.001600,0.001600,0.001600,182289
2020-04-03,0.001600,0.001620,0.001460,0.001600,0.001600,1008500
2020-04-06,0.001500,0.001800,0.001380,0.001400,0.001400,2712461
2020-04-07,0.001500,0.001700,0.001400,0.001500,0.001500,4293235
2020-04-08,0.001550,0.001600,0.001350,0.001400,0.001400,2324473
2020-04-09,0.001400,0.001800,0.001300,0.001600,0.001600,3086299
2020-04-13,0.001400,0.001800,0.001400,0.001600,0.001600,4847610
2020-04-14,0.001550,0.001700,0.001400,0.001700,0.001700,3486624
2020-04-15,0.001700,0.001700,0.001400,0.001500,0.001500,3380500
2020-04-16,0.001500,0.001600,0.001400,0.001400,0.001400,3220841
2020-04-17,0.001450,0.001500,0.001300,0.001300,0.001300,3075107
2020-04-20,0.001400,0.001800,0.001300,0.001600,0.001600,7928376
2020-04-21,0.001650,0.001800,0.001350,0.001400,0.001400,4994245
2020-04-22,0.001300,0.001500,0.001300,0.001400,0.001400,5833870
2020-04-23,0.001400,0.001700,0.001350,0.001500,0.001500,7313399
2020-04-24,0.001500,0.001600,0.001300,0.001500,0.001500,12278476
2020-04-27,0.001700,0.001900,0.001400,0.001500,0.001500,25750101
2020-04-28,0.001400,0.001800,0.001400,0.001700,0.001700,13808269
2020-04-29,0.001800,0.001800,0.001500,0.001500,0.001500,7324401
2020-04-30,0.001600,0.002500,0.001600,0.001700,0.001700,57284182
2020-05-01,0.001800,0.002150,0.001700,0.001800,0.001800,14494537
2020-05-04,0.001800,0.002100,0.001650,0.001800,0.001800,9147607
2020-05-05,0.002000,0.002400,0.001900,0.002300,0.002300,28823482
2020-05-06,0.002300,0.002300,0.001900,0.002200,0.002200,4243078
2020-05-07,0.001900,0.002200,0.001800,0.002100,0.002100,4802673
2020-05-08,0.002000,0.002300,0.002000,0.002200,0.002200,3555728
2020-05-11,0.002300,0.003300,0.002100,0.002500,0.002500,20574853
2020-05-12,0.002800,0.003100,0.002200,0.002600,0.002600,7294918
2020-05-13,0.002600,0.002800,0.002100,0.002100,0.002100,5737980
2020-05-14,0.002400,0.002400,0.002000,0.002300,0.002300,7060785
2020-05-15,0.002500,0.002700,0.002200,0.002400,0.002400,7929521
2020-05-18,0.002650,0.002700,0.002100,0.002400,0.002400,3445222
2020-05-19,0.002500,0.003700,0.002200,0.003700,0.003700,22792109
2020-05-20,0.003800,0.004000,0.003000,0.003800,0.003800,13089427
2020-05-21,0.004000,0.004000,0.003200,0.003340,0.003340,5726861
2020-05-22,0.003700,0.003700,0.002600,0.003100,0.003100,4834131
2020-05-26,0.003500,0.003500,0.002800,0.003100,0.003100,3853853
2020-05-27,0.003300,0.003500,0.002800,0.003500,0.003500,3706659
2020-05-28,0.002500,0.003400,0.002500,0.002500,0.002500,6138887
2020-05-29,0.002800,0.002800,0.002300,0.002400,0.002400,8912436
2020-06-01,0.002900,0.003000,0.002300,0.002800,0.002800,9998313
2020-06-02,0.002750,0.003000,0.002500,0.002600,0.002600,2895146
2020-06-03,0.003000,0.003000,0.002500,0.002900,0.002900,4537722
2020-06-04,0.002900,0.003100,0.002800,0.002800,0.002800,3233901
2020-06-05,0.002900,0.002900,0.002500,0.002750,0.002750,3261017
2020-06-08,0.002900,0.002900,0.002300,0.002800,0.002800,4216991
2020-06-09,0.002600,0.002800,0.002300,0.002500,0.002500,1522266
2020-06-10,0.002500,0.002700,0.002400,0.002500,0.002500,1202740
2020-06-11,0.002500,0.002500,0.002400,0.002400,0.002400,2415234
2020-06-12,0.002400,0.002800,0.002400,0.002600,0.002600,1677304
2020-06-15,0.002450,0.002700,0.002300,0.002600,0.002600,3344063
2020-06-16,0.002600,0.002700,0.002300,0.002400,0.002400,1969477
2020-06-17,0.002600,0.002900,0.002200,0.002700,0.002700,3868281
2020-06-18,0.002900,0.003000,0.002450,0.002500,0.002500,2252187
2020-06-19,0.002500,0.002600,0.001900,0.002300,0.002300,6095969
2020-06-22,0.002400,0.002500,0.002290,0.002300,0.002300,1524499
2020-06-23,0.002600,0.002900,0.002200,0.002600,0.002600,3082620
2020-06-24,0.002900,0.002900,0.002300,0.002800,0.002800,1071884
2020-06-25,0.002700,0.002700,0.002300,0.002300,0.002300,5430347
2020-06-26,0.002500,0.003100,0.002300,0.002800,0.002800,11936152
2020-06-29,0.003100,0.003400,0.002600,0.003000,0.003000,11724410
2020-06-30,0.003500,0.003500,0.002500,0.003000,0.003000,14067678
2020-07-01,0.003600,0.003600,0.002300,0.002750,0.002750,21060350
2020-07-02,0.002600,0.003200,0.002300,0.002500,0.002500,13650176
2020-07-06,0.003000,0.003000,0.002300,0.002300,0.002300,12125317
2020-07-07,0.002400,0.002500,0.002100,0.002350,0.002350,16269846
2020-07-08,0.002400,0.004500,0.002300,0.004200,0.004200,64425241
2020-07-09,0.004500,0.009000,0.004000,0.007100,0.007100,124061550
2020-07-10,0.007240,0.007800,0.005600,0.005800,0.005800,32369927
2020-07-13,0.005850,0.009700,0.005850,0.008500,0.008500,42556781
2020-07-14,0.009000,0.012400,0.007600,0.008300,0.008300,79409675
2020-07-15,0.008650,0.008800,0.005100,0.006100,0.006100,39999810
2020-07-16,0.006300,0.006700,0.004980,0.005200,0.005200,31227575
2020-07-17,0.005800,0.006000,0.004800,0.005400,0.005400,28563374
2020-07-20,0.005500,0.005500,0.003900,0.004100,0.004100,26479411
2020-07-21,0.004600,0.005650,0.004100,0.004200,0.004200,35764419
2020-07-22,0.004500,0.004700,0.003900,0.004700,0.004700,16710873
2020-07-23,0.004700,0.004800,0.003900,0.004300,0.004300,14468706
2020-07-24,0.004100,0.004700,0.003800,0.003900,0.003900,10520543
2020-07-27,0.004100,0.004500,0.003800,0.004050,0.004050,15449274
2020-07-28,0.004500,0.004500,0.003500,0.004000,0.004000,26505476
2020-07-29,0.004100,0.004100,0.003600,0.003700,0.003700,17602923
2020-07-30,0.003800,0.004300,0.003500,0.003700,0.003700,21039193
2020-07-31,0.003600,0.004700,0.003500,0.004200,0.004200,50282492
2020-08-03,0.004400,0.004700,0.003600,0.004300,0.004300,38871695
2020-08-04,0.004500,0.004600,0.003500,0.004000,0.004000,41509705
2020-08-05,0.004200,0.004400,0.003900,0.004300,0.004300,22991335
2020-08-06,0.004150,0.005500,0.004000,0.004800,0.004800,52107122
2020-08-07,0.004690,0.004900,0.004100,0.004100,0.004100,27330815
2020-08-10,0.004400,0.005150,0.004200,0.004450,0.004450,41313149
2020-08-11,0.004500,0.004600,0.004000,0.004400,0.004400,19125401
2020-08-12,0.004400,0.004400,0.003600,0.003900,0.003900,18608105
2020-08-13,0.004000,0.004100,0.003700,0.003800,0.003800,12473140
2020-08-14,0.003700,0.003900,0.003400,0.003650,0.003650,17544707
2020-08-17,0.003800,0.004600,0.003600,0.003900,0.003900,25166174
2020-08-18,0.004600,0.004600,0.003600,0.004050,0.004050,29849552
2020-08-19,0.004000,0.004100,0.003600,0.003600,0.003600,6033081
2020-08-20,0.004000,0.004000,0.003100,0.003550,0.003550,17386391
2020-08-21,0.003600,0.003600,0.003100,0.003450,0.003450,9895976
2020-08-24,0.003600,0.003600,0.003200,0.003400,0.003400,6836738
2020-08-25,0.003400,0.003400,0.002600,0.002950,0.002950,12786786
2020-08-26,0.003000,0.003600,0.002800,0.003600,0.003600,19583430
2020-08-27,0.003800,0.004900,0.003700,0.004500,0.004500,84039515
2020-08-28,0.004600,0.012000,0.004600,0.011700,0.011700,359019914
2020-08-31,0.012100,0.016700,0.008500,0.009800,0.009800,324520002
2020-09-01,0.013000,0.015500,0.005300,0.005900,0.005900,286531896
2020-09-02,0.006900,0.006900,0.004300,0.004700,0.004700,75965260
2020-09-03,0.004800,0.005500,0.004000,0.004300,0.004300,85560519
2020-09-04,0.004300,0.004800,0.004100,0.004400,0.004400,30652792
2020-09-08,0.005500,0.005500,0.004100,0.004300,0.004300,33004062
2020-09-09,0.004900,0.004900,0.004300,0.004600,0.004600,21597702
2020-09-10,0.004700,0.004700,0.004350,0.004400,0.004400,12636210
2020-09-11,0.004500,0.005700,0.004300,0.004800,0.004800,42724901
2020-09-14,0.004800,0.005200,0.004300,0.004500,0.004500,16627926
2020-09-15,0.004800,0.005800,0.004400,0.005100,0.005100,40618369
2020-09-16,0.005800,0.005800,0.004450,0.004500,0.004500,22706696
2020-09-17,0.005000,0.005000,0.004500,0.004600,0.004600,18335268
